x1,x1f,x2,x2f,s,y1,y1f,y2,y2f,y3,y3f
-1.7719329640819057,-1.7719329640819057,6.343523250055642,6.343523250055642,1,0,0,1,1,1,1
-0.8936725073252424,-0.8936725073252424,-0.7085867617313877,-0.7085867617313877,0,0,0,0,0,0,0
0.19675581363095132,0.19675581363095132,-6.819567445336252,-6.819567445336252,1,1,1,0,0,0,0
-2.5947593119134797,-2.5947593119134797,-2.9566792356630236,-2.9566792356630236,1,0,0,0,0,0,0
0.8133141749337623,0.8133141749337623,1.2946009372310212,1.2946009372310212,1,1,1,1,1,1,0
-0.9545725408064587,-0.9545725408064587,-4.988633591083291,-4.988633591083291,0,1,1,0,0,0,0
2.6249407342819926,2.6249407342819926,-1.4871111342273773,-1.4871111342273773,1,1,1,0,0,0,1
0.18838460062029314,0.18838460062029314,-0.8662646128578732,-0.8662646128578732,0,1,1,0,0,1,1
-0.12327610434442951,-0.12327610434442951,0.5071990152305559,0.5071990152305559,0,0,0,0,0,1,0
0.5695811982687263,0.5695811982687263,-10.755092452688801,-10.755092452688801,0,0,0,0,0,0,0
-0.6995643602230738,-0.6995643602230738,-7.591072362016744,-7.591072362016744,0,0,0,0,0,0,0
-1.5998272462813294,-1.5998272462813294,0.833472027285195,0.833472027285195,1,0,0,1,1,1,1
0.5950287079098918,0.5950287079098918,-7.346953368866892,-7.346953368866892,0,0,0,0,0,0,0
0.40295989340886573,0.40295989340886573,-4.3154361439617865,-4.3154361439617865,1,1,1,0,0,0,0
1.1369178378485538,1.1369178378485538,-1.9743464942003692,-1.9743464942003692,0,1,1,0,0,1,0
0.02299779974012475,0.02299779974012475,-2.577559113804961,-2.577559113804961,0,1,1,0,0,0,1
-3.4605521231001717,-3.4605521231001717,-2.5274787893276676,-2.5274787893276676,0,0,0,0,0,0,0
2.595650533947171,2.595650533947171,3.2989447056601513,3.2989447056601513,0,1,1,1,1,1,1
2.9787119241489606,2.9787119241489606,-1.319336576244676,-1.319336576244676,0,1,1,1,1,1,1
4.267736494409075,4.267736494409075,2.4604855355167747,2.4604855355167747,0,1,1,1,1,1,0
-2.1541981388079896,-2.1541981388079896,-0.7661989856736948,-0.7661989856736948,1,0,0,0,0,1,0
-0.7504448015213454,-0.7504448015213454,0.4477492197597306,0.4477492197597306,0,0,0,0,0,0,1
1.2142233438320917,1.2142233438320917,-1.9945985035681228,-1.9945985035681228,1,1,1,0,0,1,0
-2.0963408136509463,-2.0963408136509463,0.5198799258513613,0.5198799258513613,0,0,0,0,0,0,0
2.3230676071182343,2.3230676071182343,-7.662231887482775,-7.662231887482775,1,0,0,0,0,0,0
0.4251740928750732,0.4251740928750732,1.0520961339818196,1.0520961339818196,0,1,1,0,0,1,0
1.2901105469197538,1.2901105469197538,-2.6095655669724396,-2.6095655669724396,1,1,1,1,1,1,0
1.7313058456317065,1.7313058456317065,-4.344162387164445,-4.344162387164445,1,1,1,0,0,0,0
-0.2099594020379071,-0.2099594020379071,1.4086994800817458,1.4086994800817458,1,0,0,1,1,1,1
0.03855876902615443,0.03855876902615443,0.8888500176137,0.8888500176137,1,1,1,1,1,1,1
1.1161637612373316,1.1161637612373316,6.338248020823071,6.338248020823071,0,1,1,1,1,1,1
